SMILES,SENTENCE
O=C(OC)OC,"fresh,ethereal,fruity"
c1cccc2cc([nH]c21)C,"resinous,animalic"
c12c([nH]c(C)c2)cccc1,"resinous,animalic"
c1c2c([nH]c1C)cccc2,"resinous,animalic"
c1(C)[nH]c2c(cccc2)c1,"resinous,animalic"
c12ccccc1cc([nH]2)C,"resinous,animalic"
c1ccc2c(c1)[nH]c(c2)C,"resinous,animalic"
Cc1cc2c([nH]1)cccc2,"resinous,animalic"
c12ccccc2cc(C)[nH]1,"resinous,animalic"
[nH]1c2c(cc1C)cccc2,"resinous,animalic"
Cc1cc2c(cccc2)[nH]1,"resinous,animalic"
c1c2c(cccc2)[nH]c1C,"resinous,animalic"
c1ccc2[nH]c(C)cc2c1,"resinous,animalic"
c1(cc2c([nH]1)cccc2)C,"resinous,animalic"
Cc1[nH]c2ccccc2c1,"resinous,animalic"
c12c(cccc1)[nH]c(c2)C,"resinous,animalic"
c1([nH]c2c(cccc2)c1)C,"resinous,animalic"
Cc1cc2ccccc2[nH]1,"resinous,animalic"
c12ccccc1[nH]c(c2)C,"resinous,animalic"
[nH]1c(cc2ccccc12)C,"resinous,animalic"
c1ccc2[nH]c(cc2c1)C,"resinous,animalic"
C1CCCCCCCCCCCC(=O)CCC1,"powdery,musk,animalic"
O=C1CCCCCCCCCCCCCCC1,"powdery,musk,animalic"
C1CCCCCCCCC(=O)CCCCCC1,"powdery,musk,animalic"
C1CCCCCCCCCCCC(CCC1)=O,"powdery,musk,animalic"
C1CCCCCC(=O)CCCCCCCCC1,"powdery,musk,animalic"
C1CCC(=O)CCCCCCCCCCCC1,"powdery,musk,animalic"
C1C(=O)CCCCCCCCCCCCCC1,"powdery,musk,animalic"
C1CCCCCCCC(=O)CCCCCCC1,"powdery,musk,animalic"
C1CCCCCCCCCCC(CCCC1)=O,"powdery,musk,animalic"
C1CCCCCCCCCC(=O)CCCCC1,"powdery,musk,animalic"
C1CCCCCCCCCCCCC(=O)CC1,"powdery,musk,animalic"
C1CCCCC(CCCCCCCCCC1)=O,"powdery,musk,animalic"
C(CC(=O)OC1C2(C(C)(C(CC2)C1)C)C)(C)C,"coniferous,camphor,fruity"
C1CC2(C(C)(C1CC2OC(=O)CC(C)C)C)C,"coniferous,camphor,fruity"
CC(CC(OC1C2(C(C)(C(CC2)C1)C)C)=O)C,"coniferous,camphor,fruity"
C12CC(C(C2(C)C)(CC1)C)OC(CC(C)C)=O,"coniferous,camphor,fruity"
C1(C2(C(C(C1)CC2)(C)C)C)OC(=O)CC(C)C,"coniferous,camphor,fruity"
O(C1CC2C(C)(C1(C)CC2)C)C(CC(C)C)=O,"coniferous,camphor,fruity"
C1C2(C(C(C1)CC2OC(CC(C)C)=O)(C)C)C,"coniferous,camphor,fruity"
C1(C2(CCC(C1)C2(C)C)C)OC(=O)CC(C)C,"coniferous,camphor,fruity"
C12CC(OC(=O)CC(C)C)C(C)(C1(C)C)CC2,"coniferous,camphor,fruity"
C12(C(CC(C2(C)C)CC1)OC(=O)CC(C)C)C,"coniferous,camphor,fruity"
C12C(C(C(C1)OC(CC(C)C)=O)(CC2)C)(C)C,"coniferous,camphor,fruity"
C12(C)CCC(C2(C)C)CC1OC(CC(C)C)=O,"coniferous,camphor,fruity"
C(C(OC1C2(CCC(C1)C2(C)C)C)=O)C(C)C,"coniferous,camphor,fruity"
O(C(CC(C)C)=O)C1C2(C)C(C)(C(C1)CC2)C,"coniferous,camphor,fruity"
CC1(C)C2CC(OC(=O)CC(C)C)C1(C)CC2,"coniferous,camphor,fruity"
C1C2C(C(C1OC(CC(C)C)=O)(CC2)C)(C)C,"coniferous,camphor,fruity"
C1(OC(=O)CC(C)C)CC2CCC1(C)C2(C)C,"coniferous,camphor,fruity"
CC(CC(=O)OC1CC2C(C1(C)CC2)(C)C)C,"coniferous,camphor,fruity"
C1(C2CC(C1(C)CC2)OC(CC(C)C)=O)(C)C,"coniferous,camphor,fruity"
C1C2CCC(C1OC(=O)CC(C)C)(C2(C)C)C,"coniferous,camphor,fruity"
CC12C(C(CC2OC(CC(C)C)=O)CC1)(C)C,"coniferous,camphor,fruity"
C(C[C@@H](CCC)SC)O,"tropicalfruit"
C(CC)[C@@H](SC)CCO,"tropicalfruit"
CCC[C@H](CCO)SC,"tropicalfruit"
C(CO)[C@@H](CCC)SC,"tropicalfruit"
C(C[C@H](CCO)SC)C,"tropicalfruit"
[C@H](SC)(CCO)CCC,"tropicalfruit"
C(C[C@H](SC)CCC)O,"tropicalfruit"
CS[C@@H](CCO)CCC,"tropicalfruit"
C([C@H](CCO)SC)CC,"tropicalfruit"
S(C)[C@@H](CCO)CCC,"tropicalfruit"
C(O)C[C@H](SC)CCC,"tropicalfruit"
[C@@H](SC)(CCC)CCO,"tropicalfruit"
S(C)[C@H](CCC)CCO,"tropicalfruit"
OCC[C@@H](CCC)SC,"tropicalfruit"
CS[C@H](CCC)CCO,"tropicalfruit"
C(O)C[C@@H](CCC)SC,"tropicalfruit"
C(c1ccco1)OC(=O)C(C)C,"fruity,coffee"
c1coc(c1)COC(C(C)C)=O,"fruity,coffee"
O(C(C(C)C)=O)Cc1ccco1,"fruity,coffee"
C(OC(=O)C(C)C)c1ccco1,"fruity,coffee"
O=C(C(C)C)OCc1ccco1,"fruity,coffee"
c1(COC(C(C)C)=O)ccco1,"fruity,coffee"
O(Cc1occc1)C(C(C)C)=O,"fruity,coffee"
CC(C)C(OCc1occc1)=O,"fruity,coffee"
C(OC(C(C)C)=O)c1occc1,"fruity,coffee"
O=C(C(C)C)OCc1occc1,"fruity,coffee"
C(C)(C(=O)OCc1occc1)C,"fruity,coffee"
CC(C(=O)OCc1occc1)C,"fruity,coffee"
CC(C)C(OCc1ccco1)=O,"fruity,coffee"
c1coc(COC(C(C)C)=O)c1,"fruity,coffee"
C(C)(C)C(=O)OCc1ccco1,"fruity,coffee"
c1oc(cc1)COC(=O)C(C)C,"fruity,coffee"
C(C(C)C)(OCc1occc1)=O,"fruity,coffee"
CC(C)C(=O)OCc1ccco1,"fruity,coffee"
CC(C(=O)OCc1ccco1)C,"fruity,coffee"
CC1([C@H]2[C@@H]3CC[C@H]2[C@@](CCC1)([C@H]3CO)C)C,"woody"
CC1([C@@H]2[C@H]3CC[C@@H]2[C@H](CO)[C@]3(C)CCC1)C,"woody"
[C@@H]12[C@@H]([C@]3([C@H](CC2)[C@H]1C(C)(CCC3)C)C)CO,"woody"
[C@H]12[C@@H]3C(C)(C)CCC[C@](C)([C@@H]3CC2)[C@H]1CO,"woody"
CC1([C@H]2[C@H]3[C@@H]([C@@](C)([C@@H]2CC3)CCC1)CO)C,"woody"
C1CC([C@@H]2[C@@H]3[C@](C)([C@@H](CO)[C@H]2CC3)C1)(C)C,"woody"
[C@H]12C(CCC[C@]3(C)[C@@H]2CC[C@@H]1[C@@H]3CO)(C)C,"woody"
OC[C@H]1[C@H]2CC[C@H]3[C@@]1(C)CCCC([C@@H]23)(C)C,"woody"
[C@]12(CCCC(C)([C@H]3[C@@H]([C@@H]2CO)CC[C@H]31)C)C,"woody"
[C@H]1(CO)[C@H]2CC[C@H]3[C@]1(CCCC(C)([C@@H]23)C)C,"woody"
C[C@]12[C@@H]3CC[C@@H]([C@@H]3C(C)(CCC1)C)[C@@H]2CO,"woody"
C1[C@@]2([C@@H]3CC[C@@H]([C@@H]3C(C)(C)CC1)[C@@H]2CO)C,"woody"
C1[C@@]2(C)[C@H]([C@H]3CC[C@@H]2[C@H]3C(C)(CC1)C)CO,"woody"
C1[C@@]2(C)[C@@H](CO)[C@@H]3[C@H](C(CC1)(C)C)[C@H]2CC3,"woody"
CC1(CCC[C@@]2([C@H]3[C@@H]1[C@@H]([C@@H]2CO)CC3)C)C,"woody"
OC[C@H]1[C@H]2CC[C@H]3[C@@]1(C)CCCC(C)(C)[C@H]32,"woody"
CC1(C)CCC[C@]2(C)[C@H]3[C@@H]1[C@@H]([C@@H]2CO)CC3,"woody"
C1CC[C@]2(C)[C@@H]3CC[C@H]([C@@H]2CO)[C@@H]3C1(C)C,"woody"
C1C(C)(C)[C@H]2[C@@H]3CC[C@H]2[C@](CC1)(C)[C@H]3CO,"woody"
C1C(C)(C)[C@@H]2[C@H]3CC[C@@H]2[C@@H]([C@@]3(CC1)C)CO,"woody"
C1C[C@H]2[C@H]3[C@@H]1[C@]([C@H]2CO)(CCCC3(C)C)C,"woody"
c1(ccc(cc1)CC)CC(C=O)(C)C,"clean,fresh"
c1c(CC)ccc(c1)CC(C)(C)C=O,"clean,fresh"
C(C)(C=O)(C)Cc1ccc(CC)cc1,"clean,fresh"
CC(Cc1ccc(cc1)CC)(C=O)C,"clean,fresh"
c1(ccc(CC)cc1)CC(C=O)(C)C,"clean,fresh"
CC(C=O)(C)Cc1ccc(cc1)CC,"clean,fresh"
c1c(ccc(CC)c1)CC(C)(C)C=O,"clean,fresh"
C(C(C=O)(C)C)c1ccc(cc1)CC,"clean,fresh"
c1(CC(C)(C)C=O)ccc(cc1)CC,"clean,fresh"
c1cc(ccc1CC)CC(C)(C)C=O,"clean,fresh"
c1(ccc(CC)cc1)CC(C)(C)C=O,"clean,fresh"
C(C(C)(C)C=O)c1ccc(cc1)CC,"clean,fresh"
c1cc(ccc1CC(C=O)(C)C)CC,"clean,fresh"
c1cc(CC)ccc1CC(C=O)(C)C,"clean,fresh"
CCc1ccc(cc1)CC(C=O)(C)C,"clean,fresh"
c1c(ccc(CC(C)(C)C=O)c1)CC,"clean,fresh"
[C@]1(O)(C)CC[C@@H](C(C)C)[C@@H]2C=C(CC[C@H]12)C,"herbal,spicy,honey"
[C@]1(CC[C@@H](C(C)C)[C@H]2[C@@H]1CCC(C)=C2)(O)C,"herbal,spicy,honey"
CC(C)[C@@H]1CC[C@@](C)([C@H]2CCC(=C[C@@H]12)C)O,"herbal,spicy,honey"
CC([C@H]1[C@H]2[C@H](CCC(=C2)C)[C@](C)(CC1)O)C,"herbal,spicy,honey"
C[C@@]1(O)[C@H]2CCC(C)=C[C@H]2[C@@H](CC1)C(C)C,"herbal,spicy,honey"
CC([C@@H]1CC[C@](C)(O)[C@@H]2[C@H]1C=C(C)CC2)C,"herbal,spicy,honey"
[C@@H]12[C@H](C(C)C)CC[C@](C)(O)[C@H]2CCC(=C1)C,"herbal,spicy,honey"
C(C)([C@@H]1CC[C@@]([C@H]2CCC(=C[C@@H]12)C)(O)C)C,"herbal,spicy,honey"
C1[C@H]2[C@H](C(C)C)CC[C@]([C@H]2CCC=1C)(C)O,"herbal,spicy,honey"
C1CC(C)=C[C@H]2[C@@H](CC[C@]([C@@H]12)(C)O)C(C)C,"herbal,spicy,honey"
C1[C@@](O)(C)[C@@H]2[C@@H](C=C(C)CC2)[C@H](C(C)C)C1,"herbal,spicy,honey"
[C@H]1(CC[C@@]([C@H]2CCC(C)=C[C@@H]12)(O)C)C(C)C,"herbal,spicy,honey"
C1=C(C)CC[C@@H]2[C@](C)(CC[C@H]([C@H]12)C(C)C)O,"herbal,spicy,honey"
C1=C(C)CC[C@H]2[C@@H]1[C@H](C(C)C)CC[C@]2(C)O,"herbal,spicy,honey"
C1C[C@H]([C@@H]2C=C(C)CC[C@@H]2[C@@]1(C)O)C(C)C,"herbal,spicy,honey"
C1C[C@@](C)([C@H]2CCC(=C[C@H]2[C@@H]1C(C)C)C)O,"herbal,spicy,honey"
[C@H]12[C@H]([C@H](C(C)C)CC[C@@]1(O)C)C=C(C)CC2,"herbal,spicy,honey"
C1C(=C[C@@H]2[C@@H]([C@@](O)(CC[C@H]2C(C)C)C)C1)C,"herbal,spicy,honey"
CC(C)[C@@H]1CC[C@@]([C@H]2CCC(C)=C[C@@H]12)(O)C,"herbal,spicy,honey"
CC1=C[C@H]2[C@H](C(C)C)CC[C@@](C)([C@H]2CC1)O,"herbal,spicy,honey"
O=C(O[C@H]([C@H](OC(C)=O)COC(C)=O)[C@@H]([C@@H](OC(C)=O)C=O)OC(=O)C)C,"odorless"
O([C@H]([C@H](OC(C)=O)COC(C)=O)[C@H](OC(=O)C)[C@@H](OC(=O)C)C=O)C(C)=O,"odorless"
O=C(C)O[C@@H]([C@@H]([C@@H](OC(=O)C)C=O)OC(C)=O)[C@H](OC(C)=O)COC(C)=O,"odorless"
CC(OC[C@@H](OC(=O)C)[C@H]([C@@H]([C@@H](OC(C)=O)C=O)OC(C)=O)OC(C)=O)=O,"odorless"
CC(=O)O[C@@H](C=O)[C@H]([C@H](OC(C)=O)[C@H](OC(=O)C)COC(=O)C)OC(C)=O,"odorless"
C([C@@H]([C@@H](OC(C)=O)[C@@H]([C@@H](COC(=O)C)OC(C)=O)OC(C)=O)OC(=O)C)=O,"odorless"
O=C(OC[C@H]([C@@H](OC(=O)C)[C@@H]([C@@H](OC(C)=O)C=O)OC(=O)C)OC(=O)C)C,"odorless"
O=C(O[C@H]([C@H]([C@@H]([C@@H](COC(C)=O)OC(=O)C)OC(C)=O)OC(=O)C)C=O)C,"odorless"
[C@H](OC(=O)C)([C@@H]([C@@H](OC(C)=O)C=O)OC(C)=O)[C@@H](COC(C)=O)OC(=O)C,"odorless"
O(C(=O)C)[C@H]([C@@H](COC(=O)C)OC(=O)C)[C@@H]([C@@H](OC(C)=O)C=O)OC(=O)C,"odorless"
O(C(=O)C)[C@@H]([C@H]([C@@H]([C@@H](OC(=O)C)C=O)OC(C)=O)OC(=O)C)COC(=O)C,"odorless"
O=C[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H](OC(C)=O)[C@H](OC(=O)C)COC(=O)C,"odorless"
CC(O[C@H]([C@@H](OC(=O)C)C=O)[C@H](OC(=O)C)[C@H](OC(=O)C)COC(=O)C)=O,"odorless"
O=C(C)O[C@H]([C@H]([C@@H]([C@H](OC(=O)C)COC(C)=O)OC(=O)C)OC(=O)C)C=O,"odorless"
O=C[C@@H]([C@H]([C@@H]([C@H](OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,"odorless"
O(C(C)=O)C[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]([C@H](C=O)OC(=O)C)OC(=O)C,"odorless"
C(=O)(C)O[C@@H]([C@H]([C@@H]([C@H](C=O)OC(C)=O)OC(=O)C)OC(=O)C)COC(C)=O,"odorless"
O=C(C)O[C@@H](C=O)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H](OC(=O)C)COC(C)=O,"odorless"
O=C(C)O[C@@H]([C@@H](OC(=O)C)[C@H](OC(C)=O)[C@H](C=O)OC(=O)C)COC(C)=O,"odorless"
C(O[C@H]([C@H]([C@@H]([C@@H](COC(C)=O)OC(=O)C)OC(=O)C)OC(C)=O)C=O)(C)=O,"odorless"
O(C(=O)C)[C@H](COC(C)=O)[C@H]([C@@H]([C@H](C=O)OC(C)=O)OC(=O)C)OC(=O)C,"odorless"
c1ccc2c(c1)c(CC(C)C)ccn2,"leather,animalic,herbal,green"
CC(C)Cc1ccnc2ccccc12,"leather,animalic,herbal,green"
c1nc2c(c(c1)CC(C)C)cccc2,"leather,animalic,herbal,green"
c1c2c(ccc1)c(ccn2)CC(C)C,"leather,animalic,herbal,green"
c1cccc2c1c(ccn2)CC(C)C,"leather,animalic,herbal,green"
C(c1c2c(ncc1)cccc2)C(C)C,"leather,animalic,herbal,green"
c1cc2nccc(c2cc1)CC(C)C,"leather,animalic,herbal,green"
c12ccccc1nccc2CC(C)C,"leather,animalic,herbal,green"
C(c1ccnc2c1cccc2)C(C)C,"leather,animalic,herbal,green"
c1(CC(C)C)c2ccccc2ncc1,"leather,animalic,herbal,green"
c1ccc2c(c(CC(C)C)ccn2)c1,"leather,animalic,herbal,green"
c1ccc2nccc(CC(C)C)c2c1,"leather,animalic,herbal,green"
c12ccccc2c(CC(C)C)ccn1,"leather,animalic,herbal,green"
c1(CC(C)C)ccnc2c1cccc2,"leather,animalic,herbal,green"
c1cc2nccc(CC(C)C)c2cc1,"leather,animalic,herbal,green"
c1c2c(CC(C)C)ccnc2ccc1,"leather,animalic,herbal,green"
c1cc(c2c(n1)cccc2)CC(C)C,"leather,animalic,herbal,green"
c12c(c(CC(C)C)ccn1)cccc2,"leather,animalic,herbal,green"
c1cc(c2c(cccc2)n1)CC(C)C,"leather,animalic,herbal,green"
CC(C)Cc1c2ccccc2ncc1,"leather,animalic,herbal,green"
COc1ccc(/C=C/C(OCC(CC)CCCC)=O)cc1,"balsamic"
C(OCC(CC)CCCC)(/C=C/c1ccc(OC)cc1)=O,"balsamic"
C(=C/C(OCC(CC)CCCC)=O)\c1ccc(OC)cc1,"balsamic"
C(COC(/C=C/c1ccc(OC)cc1)=O)(CC)CCCC,"balsamic"
O=C(OCC(CC)CCCC)/C=C/c1ccc(cc1)OC,"balsamic"
O(c1ccc(/C=C/C(OCC(CC)CCCC)=O)cc1)C,"balsamic"
C(C)C(COC(=O)/C=C/c1ccc(OC)cc1)CCCC,"balsamic"
C(\c1ccc(OC)cc1)=C/C(=O)OCC(CCCC)CC,"balsamic"
O(C(=O)/C=C/c1ccc(OC)cc1)CC(CCCC)CC,"balsamic"
c1cc(/C=C/C(OCC(CCCC)CC)=O)ccc1OC,"balsamic"
C(C)CCC(COC(=O)/C=C/c1ccc(cc1)OC)CC,"balsamic"
CCCCC(COC(=O)/C=C/c1ccc(cc1)OC)CC,"balsamic"
O(C)c1ccc(cc1)/C=C/C(OCC(CCCC)CC)=O,"balsamic"
c1c(ccc(/C=C/C(=O)OCC(CC)CCCC)c1)OC,"balsamic"
c1cc(OC)ccc1/C=C/C(=O)OCC(CC)CCCC,"balsamic"
C(C)C(CCCC)COC(=O)/C=C/c1ccc(cc1)OC,"balsamic"
c1(/C=C/C(=O)OCC(CCCC)CC)ccc(OC)cc1,"balsamic"
O(C)c1ccc(/C=C/C(=O)OCC(CCCC)CC)cc1,"balsamic"
C(C)CCC(COC(/C=C/c1ccc(cc1)OC)=O)CC,"balsamic"
C1C(O)c2c(cccc2)CC1,"oily,woody,earthy,camphor"
OC1CCCc2c1cccc2,"oily,woody,earthy,camphor"
OC1c2ccccc2CCC1,"oily,woody,earthy,camphor"
C1CCC(c2ccccc12)O,"oily,woody,earthy,camphor"
c1cccc2C(CCCc12)O,"oily,woody,earthy,camphor"
C1(O)c2c(CCC1)cccc2,"oily,woody,earthy,camphor"
c1cccc2c1CCCC2O,"oily,woody,earthy,camphor"
C1C(O)c2ccccc2CC1,"oily,woody,earthy,camphor"
c12CCCC(O)c1cccc2,"oily,woody,earthy,camphor"
c1cc2c(cc1)C(CCC2)O,"oily,woody,earthy,camphor"
C1(CCCc2c1cccc2)O,"oily,woody,earthy,camphor"
c1cccc2C(O)CCCc21,"oily,woody,earthy,camphor"
c12c(cccc1)C(CCC2)O,"oily,woody,earthy,camphor"
C1c2c(cccc2)C(O)CC1,"oily,woody,earthy,camphor"
c1c2C(O)CCCc2ccc1,"oily,woody,earthy,camphor"
C1CCC(O)c2c1cccc2,"oily,woody,earthy,camphor"
c1ccc2c(CCCC2O)c1,"oily,woody,earthy,camphor"
c1cccc2c1C(O)CCC2,"oily,woody,earthy,camphor"
O=C1CCC2C(O1)CCCC2,"fruity,vanilla,coconut,sharp"
C1CC(OC2C1CCCC2)=O,"fruity,vanilla,coconut,sharp"
O=C1OC2C(CCCC2)CC1,"fruity,vanilla,coconut,sharp"
C1CCC2OC(=O)CCC2C1,"fruity,vanilla,coconut,sharp"
C1CCCC2OC(=O)CCC12,"fruity,vanilla,coconut,sharp"
C1C2OC(=O)CCC2CCC1,"fruity,vanilla,coconut,sharp"
C1C2CCCCC2OC(=O)C1,"fruity,vanilla,coconut,sharp"
O1C(=O)CCC2C1CCCC2,"fruity,vanilla,coconut,sharp"
C1(=O)CCC2C(O1)CCCC2,"fruity,vanilla,coconut,sharp"
C1CCCC2CCC(=O)OC21,"fruity,vanilla,coconut,sharp"
C1C2C(CCC1)CCC(O2)=O,"fruity,vanilla,coconut,sharp"
C12CCCCC2CCC(O1)=O,"fruity,vanilla,coconut,sharp"
O=C1OC2CCCCC2CC1,"fruity,vanilla,coconut,sharp"
C1(=O)OC2CCCCC2CC1,"fruity,vanilla,coconut,sharp"
C1CCCC2C1CCC(=O)O2,"fruity,vanilla,coconut,sharp"
C1(CCC2C(CCCC2)O1)=O,"fruity,vanilla,coconut,sharp"
C1C2CCC(OC2CCC1)=O,"fruity,vanilla,coconut,sharp"
C1(=O)CCC2C(CCCC2)O1,"fruity,vanilla,coconut,sharp"
C1C2CCCCC2OC(C1)=O,"fruity,vanilla,coconut,sharp"
C12OC(CCC1CCCC2)=O,"fruity,vanilla,coconut,sharp"
C1C2(OC2)C2CC(C2(C)C)C1,"rose,herbal,camphor"
C1(C)(C2CC1CCC12CO1)C,"rose,herbal,camphor"
C1C2(C3CC(CC2)C3(C)C)O1,"rose,herbal,camphor"
C1(C)(C)C2CCC3(C1C2)CO3,"rose,herbal,camphor"
CC1(C2CC1CCC21CO1)C,"rose,herbal,camphor"
C1C2(O1)CCC1CC2C1(C)C,"rose,herbal,camphor"
C12(CO1)CCC1C(C)(C)C2C1,"rose,herbal,camphor"
C1CC2(C3C(C)(C)C1C3)OC2,"rose,herbal,camphor"
O1C2(C3CC(C3(C)C)CC2)C1,"rose,herbal,camphor"
C1C2C(C)(C(C3(OC3)C1)C2)C,"rose,herbal,camphor"
C1C2(OC2)C2CC(C1)C2(C)C,"rose,herbal,camphor"
CC1(C)C2CC1CCC12CO1,"rose,herbal,camphor"
CC1(C)C2CC1CCC21OC1,"rose,herbal,camphor"
C12C3(CO3)CCC(C1)C2(C)C,"rose,herbal,camphor"
C1OC12C1CC(CC2)C1(C)C,"rose,herbal,camphor"
CC1(C)C2CCC3(CO3)C1C2,"rose,herbal,camphor"
C1CC2(OC2)C2CC1C2(C)C,"rose,herbal,camphor"
C12C(C)(C)C(C2)C2(CO2)CC1,"rose,herbal,camphor"
C1(C)(C)C2CC1C1(OC1)CC2,"rose,herbal,camphor"
C12C(C(CCC31OC3)C2)(C)C,"rose,herbal,camphor"
C(C(=O)OCC/C(C)=C/CC=C(C)C)C(C)C,"melon,green,oily,herbal"
C(C)(C)CC(OCC/C(=C/CC=C(C)C)C)=O,"melon,green,oily,herbal"
C(COC(=O)CC(C)C)/C(C)=C/CC=C(C)C,"melon,green,oily,herbal"
C(OC(CC(C)C)=O)C/C(C)=C/CC=C(C)C,"melon,green,oily,herbal"
C(/C=C(/CCOC(=O)CC(C)C)C)C=C(C)C,"melon,green,oily,herbal"
C(\CC=C(C)C)=C(\C)CCOC(CC(C)C)=O,"melon,green,oily,herbal"
O(C(CC(C)C)=O)CC/C(=C/CC=C(C)C)C,"melon,green,oily,herbal"
C(\CCOC(CC(C)C)=O)(C)=C/CC=C(C)C,"melon,green,oily,herbal"
C(\CC=C(C)C)=C(/CCOC(CC(C)C)=O)C,"melon,green,oily,herbal"
CC(CC(=O)OCC/C(C)=C/CC=C(C)C)C,"melon,green,oily,herbal"
CC(C)CC(=O)OCC/C(C)=C/CC=C(C)C,"melon,green,oily,herbal"
O=C(OCC/C(C)=C/CC=C(C)C)CC(C)C,"melon,green,oily,herbal"
C(C=C(C)C)/C=C(\C)CCOC(CC(C)C)=O,"melon,green,oily,herbal"
C(C/C=C(/CCOC(CC(C)C)=O)C)=C(C)C,"melon,green,oily,herbal"
CC(CC(OCC/C(C)=C/CC=C(C)C)=O)C,"melon,green,oily,herbal"
CC(=CC/C=C(\C)/CCOC(=O)CC(C)C)C,"melon,green,oily,herbal"
C/C(CCOC(CC(C)C)=O)=C\CC=C(C)C,"melon,green,oily,herbal"
C(C/C=C(\C)CCOC(CC(C)C)=O)=C(C)C,"melon,green,oily,herbal"
C(C(C)C)C(=O)OCC/C(C)=C/CC=C(C)C,"melon,green,oily,herbal"
C1C[C@@H](C[C@H](C=1C)O)C(=C)C,"musk,chemical,mint"
CC([C@@H]1C[C@@H](O)C(=CC1)C)=C,"musk,chemical,mint"
C1=C([C@H](O)C[C@@H](C(=C)C)C1)C,"musk,chemical,mint"
CC(=C)[C@@H]1C[C@H](C(C)=CC1)O,"musk,chemical,mint"
O[C@@H]1C[C@H](CC=C1C)C(=C)C,"musk,chemical,mint"
[C@H]1(C[C@@H](C(C)=C)CC=C1C)O,"musk,chemical,mint"
C1(=CC[C@@H](C[C@H]1O)C(=C)C)C,"musk,chemical,mint"
[C@H]1(C(C)=C)CC=C([C@H](O)C1)C,"musk,chemical,mint"
[C@H]1(C[C@@H](O)C(=CC1)C)C(=C)C,"musk,chemical,mint"
[C@H]1(O)C(=CC[C@@H](C1)C(C)=C)C,"musk,chemical,mint"
C1(C)[C@@H](C[C@@H](C(C)=C)CC=1)O,"musk,chemical,mint"
CC([C@@H]1C[C@H](C(=CC1)C)O)=C,"musk,chemical,mint"
C1[C@H](C(=C)C)C[C@H](C(C)=C1)O,"musk,chemical,mint"
CC1=CC[C@H](C(C)=C)C[C@H]1O,"musk,chemical,mint"
C=C(C)[C@H]1CC=C(C)[C@@H](C1)O,"musk,chemical,mint"
C1C=C(C)[C@H](O)C[C@H]1C(C)=C,"musk,chemical,mint"
C(C)([C@H]1CC=C([C@H](O)C1)C)=C,"musk,chemical,mint"
C1([C@H](O)C[C@@H](C(=C)C)CC=1)C,"musk,chemical,mint"
C1(C)[C@@H](C[C@@H](C(=C)C)CC=1)O,"musk,chemical,mint"
O[C@@H]1C[C@@H](C(C)=C)CC=C1C,"musk,chemical,mint"
CC1[C@H](O)C[C@H](CC=1)C(C)=C,"musk,chemical,mint"
O(c1cc(cc(OC)c1O)/C=C/C)C,"sweet,spicy"
O(c1cc(cc(c1O)OC)/C=C/C)C,"sweet,spicy"
C/C=C/c1cc(OC)c(c(c1)OC)O,"sweet,spicy"
